[1;34m[src/utils/log.c:28 init_log] Log is written to /home/tututu/hry/ysyx/ysyx-workbench/am-kernels/kernels/yield-os/build/nemu-log.txt[0m
[1;34m[src/memory/paddr.c:59 init_mem] physical memory area [0x80000000, 0x87ffffff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'serial' at [0xa00003f8, 0xa00003ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'rtc' at [0xa0000048, 0xa000004f][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vgactl' at [0xa0000100, 0xa0000107][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vmem' at [0xa1000000, 0xa10752ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'keyboard' at [0xa0000060, 0xa0000063][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio' at [0xa0000200, 0xa0000217][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio-sbuf' at [0xa1200000, 0xa120ffff][0m
[1;34m[src/monitor/monitor.c:66 load_img] The image is /home/tututu/hry/ysyx/ysyx-workbench/am-kernels/kernels/yield-os/build/yield-os-riscv32-nemu.bin, size = 102528[0m
[1;34m[src/cpu/difftest/dut.c:84 init_difftest] Differential testing: [1;32mON[0m[0m
[1;34m[src/cpu/difftest/dut.c:85 init_difftest] The result of every instruction will be compared with /home/tututu/hry/ysyx/ysyx-workbench/nemu/tools/spike-diff/build/riscv32-spike-so. This will help you a lot for debugging, but also significantly reduce the performance. If it is not necessary, you can turn it off in menuconfig.[0m
[1;34m[src/monitor/monitor.c:29 welcome] Trace: [1;32mON[0m[0m
[1;34m[src/monitor/monitor.c:32 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[src/monitor/monitor.c:35 welcome] Build time: 15:30:41, Mar 27 2024[0m
0x80000000: 00 00 04 13 addi	s0, zero, 0
0x80000004: 00 02 21 17 auipc	sp, 34
0x80000008: ff c1 01 13 addi	sp, sp, -4
0x8000000c: 18 40 00 ef jal	ra, 0x80000190
0x80000190: ff 01 01 13 addi	sp, sp, -16
0x80000194: 00 00 15 17 auipc	a0, 1
0x80000198: ee 05 05 13 addi	a0, a0, -288
0x8000019c: 00 11 26 23 sw	ra, 12(sp)
0x800001a0: f0 df f0 ef jal	ra, 0x800000ac
0x800000ac: fe 01 01 13 addi	sp, sp, -32
0x800000b0: 00 00 05 17 auipc	a0, 0
0x800000b4: f6 05 05 13 addi	a0, a0, -160
0x800000b8: 00 11 2e 23 sw	ra, 28(sp)
0x800000bc: 00 81 2c 23 sw	s0, 24(sp)
0x800000c0: 00 91 2a 23 sw	s1, 20(sp)
0x800000c4: 00 00 94 17 auipc	s0, 9
0x800000c8: fb 84 04 13 addi	s0, s0, -72
0x800000cc: 19 00 00 ef jal	ra, 0x8000025c
0x8000025c: 00 05 07 93 addi	a5, a0, 0
0x80000260: 00 00 07 17 auipc	a4, 0
0x80000264: 05 87 07 13 addi	a4, a4, 88
0x80000268: 30 57 10 73 csrrw	zero, mtvec, a4
0x8000026c: 00 10 05 13 addi	a0, zero, 1
0x80000270: 00 01 97 17 auipc	a4, 25
0x80000274: e0 f7 26 23 sw	a5, -500(a4)
0x80000278: 00 00 80 67 jalr	zero, 0(ra)
0x800000d0: 00 00 14 97 auipc	s1, 1
0x800000d4: fa c4 84 93 addi	s1, s1, -84
0x800000d8: 00 04 05 93 addi	a1, s0, 0
0x800000dc: 00 10 06 93 addi	a3, zero, 1
0x800000e0: 00 00 06 17 auipc	a2, 0
0x800000e4: f6 46 06 13 addi	a2, a2, -156
0x800000e8: 00 04 85 13 addi	a0, s1, 0
0x800000ec: 19 00 00 ef jal	ra, 0x8000027c
0x8000027c: 00 00 27 b7 lui	a5, 2
0x80000280: 80 07 87 93 addi	a5, a5, -2048
0x80000284: f7 05 87 13 addi	a4, a1, -144
0x80000288: fe c5 ac 23 sw	a2, -8(a1)
0x8000028c: fe f5 aa 23 sw	a5, -12(a1)
0x80000290: f8 d5 ac 23 sw	a3, -104(a1)
0x80000294: ff 01 01 13 addi	sp, sp, -16
0x80000298: 00 e5 20 23 sw	a4, 0(a0)
0x8000029c: 00 07 05 13 addi	a0, a4, 0
0x800002a0: 01 01 01 13 addi	sp, sp, 16
0x800002a4: 00 00 80 67 jalr	zero, 0(ra)
0x800000f0: 00 05 07 93 addi	a5, a0, 0
0x800000f4: 00 20 06 93 addi	a3, zero, 2
0x800000f8: 00 00 06 17 auipc	a2, 0
0x800000fc: f4 c6 06 13 addi	a2, a2, -180
0x80000100: 00 01 15 97 auipc	a1, 17
0x80000104: f7 c5 85 93 addi	a1, a1, -132
0x80000108: 00 04 05 13 addi	a0, s0, 0
0x8000010c: 00 f4 a0 23 sw	a5, 0(s1)
0x80000110: 16 c0 00 ef jal	ra, 0x8000027c
0x8000027c: 00 00 27 b7 lui	a5, 2
0x80000280: 80 07 87 93 addi	a5, a5, -2048
0x80000284: f7 05 87 13 addi	a4, a1, -144
0x80000288: fe c5 ac 23 sw	a2, -8(a1)
0x8000028c: fe f5 aa 23 sw	a5, -12(a1)
0x80000290: f8 d5 ac 23 sw	a3, -104(a1)
0x80000294: ff 01 01 13 addi	sp, sp, -16
0x80000298: 00 e5 20 23 sw	a4, 0(a0)
0x8000029c: 00 07 05 13 addi	a0, a4, 0
0x800002a0: 01 01 01 13 addi	sp, sp, 16
0x800002a4: 00 00 80 67 jalr	zero, 0(ra)
0x80000114: 00 a4 20 23 sw	a0, 0(s0)
0x80000118: 19 00 00 ef jal	ra, 0x800002a8
0x800002a8: ff f0 08 93 addi	a7, zero, -1
PC: 0x800002ac exception. mcause: 11
0x800002ac: 00 00 00 73 ecall	
0x800002b8: f7 41 01 13 addi	sp, sp, -140
0x800002bc: 00 11 22 23 sw	ra, 4(sp)
0x800002c0: 00 31 26 23 sw	gp, 12(sp)
0x800002c4: 00 41 28 23 sw	tp, 16(sp)
0x800002c8: 00 51 2a 23 sw	t0, 20(sp)
0x800002cc: 00 61 2c 23 sw	t1, 24(sp)
0x800002d0: 00 71 2e 23 sw	t2, 28(sp)
0x800002d4: 02 81 20 23 sw	s0, 32(sp)
0x800002d8: 02 91 22 23 sw	s1, 36(sp)
0x800002dc: 02 a1 24 23 sw	a0, 40(sp)
0x800002e0: 02 b1 26 23 sw	a1, 44(sp)
0x800002e4: 02 c1 28 23 sw	a2, 48(sp)
0x800002e8: 02 d1 2a 23 sw	a3, 52(sp)
0x800002ec: 02 e1 2c 23 sw	a4, 56(sp)
0x800002f0: 02 f1 2e 23 sw	a5, 60(sp)
0x800002f4: 05 01 20 23 sw	a6, 64(sp)
0x800002f8: 05 11 22 23 sw	a7, 68(sp)
0x800002fc: 05 21 24 23 sw	s2, 72(sp)
0x80000300: 05 31 26 23 sw	s3, 76(sp)
0x80000304: 05 41 28 23 sw	s4, 80(sp)
0x80000308: 05 51 2a 23 sw	s5, 84(sp)
0x8000030c: 05 61 2c 23 sw	s6, 88(sp)
0x80000310: 05 71 2e 23 sw	s7, 92(sp)
0x80000314: 07 81 20 23 sw	s8, 96(sp)
0x80000318: 07 91 22 23 sw	s9, 100(sp)
0x8000031c: 07 a1 24 23 sw	s10, 104(sp)
0x80000320: 07 b1 26 23 sw	s11, 108(sp)
0x80000324: 07 c1 28 23 sw	t3, 112(sp)
0x80000328: 07 d1 2a 23 sw	t4, 116(sp)
0x8000032c: 07 e1 2c 23 sw	t5, 120(sp)
0x80000330: 07 f1 2e 23 sw	t6, 124(sp)
0x80000334: 34 20 22 f3 csrrs	t0, mcause, zero
0x80000338: 30 00 23 73 csrrs	t1, mstatus, zero
0x8000033c: 34 10 23 f3 csrrs	t2, mepc, zero
0x80000340: 08 51 20 23 sw	t0, 128(sp)
0x80000344: 08 61 22 23 sw	t1, 132(sp)
0x80000348: 08 71 24 23 sw	t2, 136(sp)
0x8000034c: 00 02 05 37 lui	a0, 32
0x80000350: 00 a3 63 33 or	t1, t1, a0
0x80000354: 30 03 10 73 csrrw	zero, mstatus, t1
0x80000358: 00 01 05 13 addi	a0, sp, 0
0x8000035c: e5 5f f0 ef jal	ra, 0x800001b0
0x800001b0: 00 01 97 97 auipc	a5, 25
0x800001b4: ec c7 a7 83 lw	a5, -308(a5)
0x800001b8: 00 05 05 93 addi	a1, a0, 0
0x800001bc: 06 07 8e 63 beq	a5, zero, 0x80000238
0x800001c0: 08 05 26 83 lw	a3, 128(a0)
0x800001c4: fd 01 01 13 addi	sp, sp, -48
0x800001c8: 02 11 26 23 sw	ra, 44(sp)
0x800001cc: 00 01 2a 23 sw	zero, 20(sp)
0x800001d0: 00 01 2c 23 sw	zero, 24(sp)
0x800001d4: 00 01 2e 23 sw	zero, 28(sp)
0x800001d8: 00 b0 07 13 addi	a4, zero, 11
0x800001dc: 04 e6 82 63 beq	a3, a4, 0x80000220
0x80000220: 08 85 27 03 lw	a4, 136(a0)
0x80000224: 00 10 06 93 addi	a3, zero, 1
0x80000228: 00 d1 28 23 sw	a3, 16(sp)
0x8000022c: 00 47 07 13 addi	a4, a4, 4
0x80000230: 08 e5 24 23 sw	a4, 136(a0)
0x80000234: fb 5f f0 6f jal	zero, 0x800001e8
0x800001e8: 01 01 27 03 lw	a4, 16(sp)
0x800001ec: 00 01 05 13 addi	a0, sp, 0
0x800001f0: 00 e1 20 23 sw	a4, 0(sp)
0x800001f4: 01 41 27 03 lw	a4, 20(sp)
0x800001f8: 00 e1 22 23 sw	a4, 4(sp)
0x800001fc: 01 81 27 03 lw	a4, 24(sp)
0x80000200: 00 e1 24 23 sw	a4, 8(sp)
0x80000204: 01 c1 27 03 lw	a4, 28(sp)
0x80000208: 00 e1 26 23 sw	a4, 12(sp)
0x8000020c: 00 07 80 e7 jalr	ra, 0(a5)
0x80000010: 00 00 17 17 auipc	a4, 1
0x80000014: 06 87 07 13 addi	a4, a4, 104
0x80000018: 00 07 26 83 lw	a3, 0(a4)
0x8000001c: 00 00 16 17 auipc	a2, 1
0x80000020: 06 06 06 13 addi	a2, a2, 96
0x80000024: 00 00 97 97 auipc	a5, 9
0x80000028: 05 87 87 93 addi	a5, a5, 88
0x8000002c: 00 b6 a0 23 sw	a1, 0(a3)
0x80000030: 00 c6 84 63 beq	a3, a2, 0x80000038
0x80000034: 00 06 07 93 addi	a5, a2, 0
0x80000038: 00 07 a5 03 lw	a0, 0(a5)
0x8000003c: 00 f7 20 23 sw	a5, 0(a4)
0x80000040: 00 00 80 67 jalr	zero, 0(ra)
0x80000210: 02 05 06 63 beq	a0, zero, 0x8000023c
0x80000214: 02 c1 20 83 lw	ra, 44(sp)
0x80000218: 03 01 01 13 addi	sp, sp, 48
0x8000021c: 00 00 80 67 jalr	zero, 0(ra)
0x80000360: 00 05 01 13 addi	sp, a0, 0
0x80000364: 08 41 23 03 lw	t1, 132(sp)
0x80000368: 08 81 23 83 lw	t2, 136(sp)
0x8000036c: 30 03 10 73 csrrw	zero, mstatus, t1
0x80000370: 34 13 90 73 csrrw	zero, mepc, t2
0x80000374: 00 41 20 83 lw	ra, 4(sp)
0x80000378: 00 c1 21 83 lw	gp, 12(sp)
0x8000037c: 01 01 22 03 lw	tp, 16(sp)
0x80000380: 01 41 22 83 lw	t0, 20(sp)
0x80000384: 01 81 23 03 lw	t1, 24(sp)
0x80000388: 01 c1 23 83 lw	t2, 28(sp)
0x8000038c: 02 01 24 03 lw	s0, 32(sp)
0x80000390: 02 41 24 83 lw	s1, 36(sp)
0x80000394: 02 81 25 03 lw	a0, 40(sp)
0x80000398: 02 c1 25 83 lw	a1, 44(sp)
0x8000039c: 03 01 26 03 lw	a2, 48(sp)
0x800003a0: 03 41 26 83 lw	a3, 52(sp)
0x800003a4: 03 81 27 03 lw	a4, 56(sp)
0x800003a8: 03 c1 27 83 lw	a5, 60(sp)
0x800003ac: 04 01 28 03 lw	a6, 64(sp)
0x800003b0: 04 41 28 83 lw	a7, 68(sp)
0x800003b4: 04 81 29 03 lw	s2, 72(sp)
0x800003b8: 04 c1 29 83 lw	s3, 76(sp)
0x800003bc: 05 01 2a 03 lw	s4, 80(sp)
0x800003c0: 05 41 2a 83 lw	s5, 84(sp)
0x800003c4: 05 81 2b 03 lw	s6, 88(sp)
0x800003c8: 05 c1 2b 83 lw	s7, 92(sp)
0x800003cc: 06 01 2c 03 lw	s8, 96(sp)
0x800003d0: 06 41 2c 83 lw	s9, 100(sp)
0x800003d4: 06 81 2d 03 lw	s10, 104(sp)
0x800003d8: 06 c1 2d 83 lw	s11, 108(sp)
0x800003dc: 07 01 2e 03 lw	t3, 112(sp)
0x800003e0: 07 41 2e 83 lw	t4, 116(sp)
0x800003e4: 07 81 2f 03 lw	t5, 120(sp)
0x800003e8: 07 c1 2f 83 lw	t6, 124(sp)
0x800003ec: 08 c1 01 13 addi	sp, sp, 140
0x800003f0: 30 20 00 73 mret	
0x80000044: fe 01 01 13 addi	sp, sp, -32
0x80000048: 00 11 2e 23 sw	ra, 28(sp)
0x8000004c: 00 81 2c 23 sw	s0, 24(sp)
0x80000050: 00 91 2a 23 sw	s1, 20(sp)
0x80000054: 00 20 07 93 addi	a5, zero, 2
0x80000058: 00 05 07 13 addi	a4, a0, 0
0x8000005c: 00 a7 f4 63 bgeu	a5, a0, 0x80000064
0x80000064: 00 00 17 97 auipc	a5, 1
0x80000068: e5 87 87 93 addi	a5, a5, -424
0x8000006c: 00 e7 87 b3 add	a5, a5, a4
0x80000070: 00 07 c4 83 lbu	s1, 0(a5)
0x80000074: 00 01 84 37 lui	s0, 24
0x80000078: 69 f4 04 13 addi	s0, s0, 1695
0x8000007c: 00 04 85 13 addi	a0, s1, 0
0x80000080: 0f 80 00 ef jal	ra, 0x80000178
0x80000178: a0 00 07 b7 lui	a5, 655360
0x8000017c: 3e a7 8c 23 sb	a0, 1016(a5)
0x80000180: 00 00 80 67 jalr	zero, 0(ra)
0x80000084: 00 01 26 23 sw	zero, 12(sp)
0x80000088: 00 c1 27 83 lw	a5, 12(sp)
0x8000008c: 00 f4 4c 63 blt	s0, a5, 0x800000a4
0x80000090: 00 c1 27 83 lw	a5, 12(sp)
0x80000094: 00 17 87 93 addi	a5, a5, 1
0x80000098: 00 f1 26 23 sw	a5, 12(sp)
0x8000009c: 00 c1 27 83 lw	a5, 12(sp)
0x800000a0: fe f4 58 e3 bge	s0, a5, 0x80000090
0x80000090: 00 c1 27 83 lw	a5, 12(sp)
0x80000094: 00 17 87 93 addi	a5, a5, 1
0x80000098: 00 f1 26 23 sw	a5, 12(sp)
0x8000009c: 00 c1 27 83 lw	a5, 12(sp)
0x800000a0: fe f4 58 e3 bge	s0, a5, 0x80000090
0x80000090: 00 c1 27 83 lw	a5, 12(sp)
0x80000094: 00 17 87 93 addi	a5, a5, 1
0x80000098: 00 f1 26 23 sw	a5, 12(sp)
0x8000009c: 00 c1 27 83 lw	a5, 12(sp)
0x800000a0: fe f4 58 e3 bge	s0, a5, 0x80000090
0x80000090: 00 c1 27 83 lw	a5, 12(sp)
0x80000094: 00 17 87 93 addi	a5, a5, 1
0x80000098: 00 f1 26 23 sw	a5, 12(sp)
0x8000009c: 00 c1 27 83 lw	a5, 12(sp)
0x800000a0: fe f4 58 e3 bge	s0, a5, 0x80000090
0x80000090: 00 c1 27 83 lw	a5, 12(sp)
0x80000094: 00 17 87 93 addi	a5, a5, 1
0x80000098: 00 f1 26 23 sw	a5, 12(sp)
0x8000009c: 00 c1 27 83 lw	a5, 12(sp)
0x800000a0: fe f4 58 e3 bge	s0, a5, 0x80000090
0x80000090: 00 c1 27 83 lw	a5, 12(sp)
0x80000094: 00 17 87 93 addi	a5, a5, 1
0x80000098: 00 f1 26 23 sw	a5, 12(sp)
0x8000009c: 00 c1 27 83 lw	a5, 12(sp)
0x800000a0: fe f4 58 e3 bge	s0, a5, 0x80000090
0x80000090: 00 c1 27 83 lw	a5, 12(sp)
0x80000094: 00 17 87 93 addi	a5, a5, 1
